split,pair_id,height,width,change_threshold,precision,recall,f1,accuracy,pct_pixels_changed_true,pct_pixels_changed_predicted,mean_ndvi_before,mean_ndvi_after,mean_ndvi_change,pct_pixels_vegetation_loss
train,0,522,582,2.45108,0.21661089139032552,0.4128732966077124,0.28414646313479,0.9763827994364788,1.1352714249976958,2.1638951429210938,0.2405751347541809,0.22524909675121307,-0.01532601285725832,4.464391515582415
train,1,776,718,2.416585,0.11535962413155396,0.2527929901423877,0.15842399697978515,0.9559899348131982,1.6386439996554,3.5908379519283233,0.32629403471946716,0.3546501100063324,0.028356079012155533,9.9797547597852
train,2,339,563,2.4284732,0.5250444952962116,0.4186942416869424,0.46587704455724754,0.9751908496937498,2.5841336707587357,2.0607051352583348,0.3034273386001587,0.32476580142974854,0.02133847400546074,0.9216324263715766
train,3,1015,788,2.2395039,0.406046511627907,0.5530566993981628,0.4682848330427786,0.9702558075567003,2.36828286364432,3.225725788302368,0.20821727812290192,0.2306022047996521,0.02238493412733078,1.5792303268235355
train,4,471,525,2.8722422,0.09904999221305093,0.1378413524057217,0.11526959673765291,0.9605176423010818,1.8659387321807706,2.5967040744110808,0.21326717734336853,0.19569264352321625,-0.017574531957507133,1.505611161662117
train,5,517,461,2.3863325,0.13630229419703105,0.2546218487394958,0.17755640199238207,0.9764451176275609,0.9985860357393104,1.8654258465953673,0.1987161636352539,0.1548980176448822,-0.043818149715662,7.735265611298288
train,6,902,772,2.5659328,0.33295005059332167,0.41800438849751703,0.3706605222734255,0.9646984823592937,2.4869891892512896,3.122307365325184,0.36056503653526306,0.3074268698692322,-0.05313815921545029,17.52854910791218
train,7,695,540,2.5776196,0.2655376895883225,0.3480828163539876,0.3012582074586797,0.9424380495603517,3.5648814281907812,4.6730615507593924,0.28096503019332886,0.2439498007297516,-0.03701521456241608,4.822808419930722
train,8,1180,1070,2.7659078,0.39382484489972586,0.4023822159325432,0.39805754451460484,0.9673079360050689,2.6863614763187074,2.7447330904482814,0.0509524792432785,0.018231021240353584,-0.03272146359086037,1.7065578964042452
train,9,408,390,2.3468812,0.037889039242219216,0.2445414847161572,0.06561218512009373,0.9799522373051784,0.28783308195072904,1.8577174459527401,0.05599203705787659,0.13524584472179413,0.07925380021333694,0.5128205128205128
train,10,858,557,2.3984323,0.22804959785522788,0.33346945442665793,0.2708637388881518,0.9540035069658049,2.5620101024050754,3.7463434231836388,0.2916332483291626,0.26006561517715454,-0.031567636877298355,5.810138395416672
train,11,639,688,2.7074118,0.03503777510128107,0.14726184997699032,0.056607111268353084,0.9514775994468101,0.9885540633984786,4.154838592277177,0.3458832800388336,0.4002043306827545,0.05432103946805,12.00595043126979
train,12,395,360,3.6842318,0.10487580496780129,0.32695984703632885,0.15881123752031576,0.974521800281294,0.7355836849507736,2.2932489451476794,-0.007103256415575743,0.14460720121860504,0.15171046555042267,0.0639943741209564
train,13,799,785,2.6162121,0.19126361733082572,0.22846727704306544,0.20821663801595425,0.9346428258252752,3.761389635133088,4.493036678013121,0.05076003819704056,0.050703905522823334,-5.613406756310724e-05,0.6197236992099998
test,0,353,426,2.3226616,0.3772445574447799,0.2775958840037418,0.31983832940383966,0.9328558698745827,5.687002088071393,4.184787668408943,0.2810668647289276,0.2784023582935333,-0.002664528787136078,4.361010254159519
test,1,639,688,2.67693,0.015804670482751634,0.06217616580310881,0.02520295650066642,0.9451018124249372,1.1414091785857263,4.490346471594425,0.3611598014831543,0.40282806754112244,0.04166824743151665,14.311287622375076
test,2,458,476,2.9287908,0.024397500743826243,0.1692466460268318,0.04264725003250553,0.9662260100546769,0.4444791016843418,3.083373087226157,0.1649700552225113,0.22493307292461395,0.05996301770210266,2.710909691387472
test,3,730,544,2.7334993,0.49011549635088214,0.24154066417571673,0.32360233918128656,0.9271857373086221,7.211170427074939,3.5538376309427884,0.32622018456459045,0.3411330580711365,0.014912916347384453,3.261986301369863
test,4,426,451,2.5712085,0.7215380748931892,0.439865175425157,0.5465448315248429,0.9504075450485618,6.794499443073816,4.142073430977588,0.24470119178295135,0.23108884692192078,-0.013612333685159683,2.856458782257477
test,5,433,469,2.9966297,0.22650930549251022,0.19038534910339566,0.20688225538971808,0.9623197112425336,2.581286901027689,2.169620390295307,0.2019449919462204,0.191379114985466,-0.010565882548689842,1.5166660921719348
test,6,241,385,2.4113002,0.03607366622365673,0.15484922575387122,0.05851555281798583,0.9341057282965997,1.3224120278062186,5.676564099800614,0.41546085476875305,0.4423713982105255,0.02691051922738552,8.289055342997251
test,7,774,634,2.5919843,0.5437028881172186,0.26369405820616565,0.35514432319544137,0.9049857758866636,9.922032295665925,4.8121520390612895,0.08026141673326492,0.08796986937522888,0.007708448451012373,0.2924298372174537
test,8,545,558,2.2836225,0.17424242424242425,0.40884663083918976,0.24434836318715256,0.9798855677222058,0.7954358620236098,1.866429910229851,0.10480739176273346,0.10238511115312576,-0.002422272926196456,0.8125349380158495
test,9,824,716,2.7545114,0.8250785469693226,0.5162800971946101,0.6351345842901205,0.9544852063784781,7.673089439713619,4.801316645875142,0.06566859036684036,0.06837732344865799,0.0027087293565273285,0.3520434452459728
